,Unnamed: 0,File Name,Candidate,Sentence,Propaganda Segments,Loaded_Language,"Name_Calling,Labeling",Repetition,"Exaggeration,Minimisation",Doubt,Appeal_to_fear-prejudice,Flag-Waving,Causal_Oversimplification,Slogans,Appeal_to_Authority,Black-and-White_Fallacy,Thought-terminating Cliches,"Whataboutism,Straw_Men,Red_Herring","Obfuscation,Intentional_Vagueness,Confusion","Bandwagon,Reductio_ad_hitlerum",Num Prop,Thought-terminating_Cliches,Content_Category
20,20,DT_press_release_289.txt,DT,"We no longer feel compelled to work with a publication which has put its need for ""clicks"" above journalistic integrity","We no longer feel compelled to work: Repetition, """"a publication which has put its need for """"clicks"""" above journalistic integrity """"They have no journalistic integrity and write falsely about Mr Trump Mr Trump does not mind a bad story but it has to be honest"""": Repetition",,,2.0,,,,,,,,,,,,,2.0,,press_release
21,21,DT_press_release_302.txt,DT,To date the campaigns fundraising has been incredible and we continue to see a tremendous outpouring of support for Mr,incredible: Repetition,,,1.0,,,,,,,,,,,,,1.0,,press_release
22,22,DT_press_release_302.txt,DT,"The positive response to our fundraising efforts so far is a further indication that the country does not want yet another corrupt politician like Crooked Hillary."" Mr","""the country does not want yet another corrupt politician like Crooked Hillary."""""": Flag-Waving",,,,,,,1.0,,,,,,,,,1.0,,press_release
23,23,DT_press_release_302.txt,DT,"Our campaign is leaner and more efficient like our government should be."" ",our government: Flag-Waving,,,,,,,1.0,,,,,,,,,1.0,,press_release
24,24,DT_press_release_316.txt,DT,"After winning the most votes in the history of a Republican primary contest we are taking our messages to the people so that we can Make American Great Again."" ","the most votes in the history of a Republican primary contest: Repetition, """"we can Make American Great Again."""""""": Whataboutism,Straw_Men,Red_Herring",,,1.0,,,,,,,,,,,,,2.0,,press_release
25,25,DT_remarks_476.txt,DT,I am going to fight so hard for all of you and I am going to bring back the jobs that have been stripped away from you and your country,your country: Repetition,,,1.0,,,,,,,,,,,,,1.0,,remarks
26,26,DT_remarks_476.txt,DT,It is going to be a victory for YOU the American people,for YOU the American people: Repetition,,,1.0,,,,,,,,,,,,,1.0,,remarks
27,27,DT_remarks_476.txt,DT,We are going to take on the special interests the lobbyists and the powerful politicians that have stolen your jobs your wealth and your middle class,the special interests the lobbyists and the powerful politicians that have stolen your jobs your wealth and your middle class: Repetition,,,1.0,,,,,,,,,,,,,1.0,,remarks
28,28,DT_remarks_476.txt,DT,We are going to take on the arrogant corrupt corporate media that have enabled the global theft of American prosperity – a theft that has left behind crumbling schools roads bridges and a depleted military,"the arrogant corrupt corporate media: Flag-Waving, ""the global theft of American prosperity"": Flag-Waving",,,,,,,2.0,,,,,,,,,2.0,,remarks
29,29,DT_remarks_476.txt,DT,"Everyone knows shes for it because she doesnt believe in protecting American Sovereignty."" Hillary Clinton only believes in protecting one thing: her donors","""she doesnt believe in protecting American Sovereignty."""" Hillary Clinton only believes in protecting one thing"": Causal_Oversimplification",,,,,,,,1.0,,,,,,,,1.0,,remarks
30,30,DT_remarks_476.txt,DT,Hillary Clinton is an insider fighting only for herself and for her donors,"an insider fighting only for herself and for her donors: Repetition, ""an insider fighting only for herself and for her donors"": Flag-Waving",,,1.0,,,,,,,,,,,,,2.0,,remarks
31,31,DT_remarks_476.txt,DT,"""We are the ones who are going to change the system so its fair and just for every American."" We have a movement","""to change the system so its fair and just for every American."""""": Flag-Waving",,,,,,,1.0,,,,,,,,,1.0,,remarks
32,32,DT_remarks_476.txt,DT,The corrupt establishment is panicking because they know how hard it is to stop us,"corrupt establishment: Repetition, ""panicking"": Repetition",,,2.0,,,,,,,,,,,,,2.0,,remarks
33,33,DT_remarks_476.txt,DT,"""The arrogant political class doesnt believe in protecting jobs and wages for Americans."" ""They dont believe in secure borders and strong walls."" ""These Washington and Wall Street insiders dont believe in hiring more police producing more American energy or giving school choice to poor children trapped in failing schools."" ""For decades weve talked about the corruption incompetence and failures of our leaders","""""""They dont believe in secure borders and strong walls."""""": Black-and-White_Fallacy, """"""""These Washington and Wall Street insiders dont believe in hiring more police producing more American energy or giving school choice to poor children trapped in failing schools."""""""": Flag-Waving, ""corruption incompetence"": Loaded_Language, ""our leaders"": Flag-Waving",,,,,,,,,,,1.0,,,,,4.0,,remarks
34,34,DT_remarks_476.txt,DT,"If you do this one simple thing you can deliver justice for every single person who has been wronged by the system: show up and vote."" ""When you cast that ballot just picture a Wall Street boardroom filled with the special interests who have been bleeding this county dry and imagine the look on their faces when you tell all of them: youre fired."" In their place will be a new government","the special interests who have been bleeding this county dry: Name_Calling,Labeling",,1.0,,,,,,,,,,,,,,1.0,,remarks
35,35,DT_remarks_476.txt,DT,"So we are going to spell it out for them today."" The large corporations who support terrible trade deals that ship your jobs overseas – they are donating to Hillary Clinton",The large corporations who support terrible trade deals that ship your jobs overseas: Repetition,,,1.0,,,,,,,,,,,,,1.0,,remarks
36,36,DT_remarks_476.txt,DT,The Wall Street investors who have rigged the regulations against the middle class – they are donating to Hillary Clinton,"The Wall Street investors who have rigged the regulations against the middle class: Repetition, ""The Wall Street investors who have rigged the regulations against the middle class"": Repetition, ""The Wall Street investors who have rigged the regulations against the middle class"": Causal_Oversimplification, ""The Wall Street investors who have rigged the regulations against the middle class"": Repetition",,,3.0,,,,,,,,,,,,,4.0,,remarks
37,37,DT_remarks_476.txt,DT,The wealthy donors who want to shut down American energy – they are donating to Hillary Clinton,"The wealthy donors who want to shut down American energy: Repetition, ""The wealthy donors who want to shut down American energy"": Repetition, ""The wealthy donors who want to shut down American energy"": Repetition",,,3.0,,,,,,,,,,,,,3.0,,remarks
38,38,DT_remarks_476.txt,DT,13 phones missing several destroyed with a hammer,"destroyed: Repetition, ""destroyed"": Repetition, ""destroyed"": Repetition, ""destroyed"": Repetition",,,4.0,,,,,,,,,,,,,4.0,,remarks
39,39,DT_remarks_476.txt,DT,"So heres my question for Hillary Clinton: can you promise that not one of the five people who were granted criminal immunity will ever be allowed to serve in a Clinton Administration?"" And here is the demand I am making today to President Obama: will you pledge here and now not to issue a pardon to Hillary Clinton and her co-conspirators for their many crimes against our country and society itself? No one is above the law","can you: Doubt, ""crimes against our country and society itself"": Repetition, ""No one is above the"": Slogans",,,,,1.0,,,,,,,,,,,3.0,,remarks
40,40,DT_remarks_476.txt,DT,Clinton and her cronies will say anything do anything lie about anything to keep their grip on power – to keep their control over this country,keep their control over this country: Flag-Waving,,,,,,,1.0,,,,,,,,,1.0,,remarks
41,41,DT_remarks_476.txt,DT,Remember the Clinton pardon of fugitive Marc Rich in exchange for unknown and undisclosed amounts of money? The American people have had it with years decades of Clinton Corruption and scandals,"fugitive Marc Rich: Repetition, ""The American people have had it with years decades of Clinton Corruption and scandals They are tired of the lies they are tired of the trivial politics they are tired of being talked down to looked"": Flag-Waving",,,1.0,,,,,,,,,,,,,2.0,,remarks
42,42,DT_remarks_476.txt,DT,This will be the year the American people say: Enough is enough,"Enough is enough Hillary Clinton has been a disaster for so many communities: Flag-Waving, ""the American people"": Repetition, ""Enough is enough"": Repetition, ""the American"": Repetition, """"Enough is enough """""""": Flag-Waving",,,,,,,2.0,,,,,,,,,5.0,,remarks
43,43,DT_remarks_476.txt,DT,Hillary Clinton has been a disaster for so many communities but especially for African-American communities,"disaster for so many communities: Flag-Waving, ""disaster for so many communities"": Repetition",,,,,,,1.0,,,,,,,,,2.0,,remarks
44,44,DT_remarks_476.txt,DT,I dont think African-Americans are going to come out and vote for Clinton – they are too smart and they know they are being used,"they know they are being used: Flag-Waving, ""they know they are being used"": Flag-Waving, ""they know they are being used"": Causal_Oversimplification",,,,,,,2.0,,,,,,,,,3.0,,remarks
45,45,DT_remarks_476.txt,DT,They also know that shell do nothing for them once the election is over – she never does and that will never change,"shell do nothing for: Flag-Waving, ""she never does"": Flag-Waving, ""shell do nothing for them"": Flag-Waving, ""she never does"": Flag-Waving, ""shell do nothing for them"": Causal_Oversimplification, ""she never does"": Doubt",,,,,,,4.0,,,,,,,,,6.0,,remarks
46,46,DT_remarks_476.txt,DT,"Many of them will never forget her calling young African-American men ""super-predators."" To the African-American community let me ask you this question: are you better off than you were eight years ago? If not vote for Donald Trump","""""""super-predators."""""": Repetition",,,1.0,,,,,,,,,,,,,1.0,,remarks
47,47,DT_remarks_476.txt,DT,We are going to pass the biggest tax cut since Ronald Reagan,the biggest tax cut since Ronald Reagan Every wasteful and unnecessary regulation: Repetition,,,1.0,,,,,,,,,,,,,1.0,,remarks
48,48,DT_remarks_476.txt,DT,The catastrophe known as Obamacare will be repealed and replaced,"catastrophe known as: Repetition, ""catastrophe known"": Repetition",,,2.0,,,,,,,,,,,,,2.0,,remarks
49,49,DT_remarks_476.txt,DT,And the disastrous trade deals like NAFTA that have caused so much pain in Michigan will be renegotiated – and we will bring back your auto-manufacturing,disastrous trade deals: Black-and-White_Fallacy,,,,,,,,,,,1.0,,,,,1.0,,remarks
50,50,DT_remarks_476.txt,DT,"""Michigan has lost more than 1 in 3 of its manufacturing jobs since the twin disasters of NAFTA and Chinas entrance into the WTO – both deals pushed by Bill Clinton and supported by Hillary Clinton."" Before NAFTA went into effect there were 280000 auto workers in Michigan",disasters: Black-and-White_Fallacy,,,,,,,,,,,1.0,,,,,1.0,,remarks
51,51,DT_remarks_476.txt,DT,"Today the cars are made in Mexico and you cant drink the water in Flint."" Hillary Clinton also gave us the job-killing trade deal with South Korea which has cost this country another 100000 jobs",job-killing trade deal: Repetition,,,1.0,,,,,,,,,,,,,1.0,,remarks
52,52,DT_remarks_476.txt,DT,"She campaigned right here in Michigan and said the Korea deal ""will hurt the us auto industry increase our trade deficit cost us good middle-class jobs and make America less competitive."" She pledged to reject the deal","""""""will hurt the us auto industry increase our trade deficit cost us good middle-class jobs and make America less competitive."""""": Flag-Waving",,,,,,,1.0,,,,,,,,,1.0,,remarks
53,53,DT_remarks_476.txt,DT,But she lied to all of you just like she lied about her emails,"""she lied to all of you just like she lied about her emails Once installed as Secretary of State she supported it and called it a """"cutting-edge deal."""""": Doubt",,,,,1.0,,,,,,,,,,,1.0,,remarks
54,54,DT_remarks_476.txt,DT,"Once installed as Secretary of State she supported it and called it a ""cutting-edge deal."" She rammed it through to adoption – she always does whatever the donors tell her to do no matter how it impacts our families schools and communities","she always does whatever the donors tell her to do no matter how it impacts our families: Exaggeration,Minimisation",,,,1.0,,,,,,,,,,,,1.0,,remarks
55,55,DT_remarks_476.txt,DT,Hillary Clinton is merely a vessel for the special interests trying to strip this country of its wealth its jobs and its status as a sovereign nation,"Hillary Clinton is merely a vessel for the special interests trying to strip this country of its wealth its jobs and its status as a sovereign nation: Flag-Waving, ""merely a vessel for the special interests trying to strip this country of its wealth its jobs and its status as a sovereign nation"": Flag-Waving",,,,,,,2.0,,,,,,,,,2.0,,remarks
56,56,DT_remarks_476.txt,DT,She even supports the disastrous surrender of Americas control of the internet which is happening tomorrow,"disastrous surrender of Americas control of: Whataboutism,Straw_Men,Red_Herring",,,,,,,,,,,,,1.0,,,1.0,,remarks
57,57,DT_remarks_476.txt,DT,"Hillary Clintons website says she supports the decision to give away the internet to a ""global community of stakeholders."" Someone needs to inform Hillary Clinton its not the job of our leaders to represent a ""global community."" Its the job of our leaders to represent American citizens","Someone needs: Repetition, """"its not the job of our leaders to represent a """"global community."""""""": Flag-Waving, ""Its the job of our leaders to represent American citizens"": Flag-Waving",,,1.0,,,,,,,,,,,,,3.0,,remarks
58,58,DT_remarks_476.txt,DT,Losing control of the internet to other foreign entities is just one more way Obama-Clinton have sold out the citizens of this country,Obama-Clinton have sold out the citizens of this country Hillary Clinton is a globalist who will never protect the freedom and jobs of the American people: Flag-Waving,,,,,,,1.0,,,,,,,,,1.0,,remarks
59,59,DT_remarks_476.txt,DT,Hillary Clinton is a globalist who will never protect the freedom and jobs of the American people,Clinton is a globalist who will never protect the freedom and jobs of the American people: Flag-Waving,,,,,,,1.0,,,,,,,,,1.0,,remarks
60,60,DT_remarks_476.txt,DT,"Have you ever wondered why it is that all the things that the American people want never seem to happen? ""The reason for this is simple",all the things that the American people want never seem to happen: Repetition,,,1.0,,,,,,,,,,,,,1.0,,remarks
61,61,DT_remarks_476.txt,DT,"Its because the financial interests who control our politics and our media dont want these changes to happen."" Hillary Clinton has been there for 30 years and has never done anything for you and your family","""Hillary Clinton has been there for 30 years and has never done anything for you and your family """""": Doubt",,,,,1.0,,,,,,,,,,,1.0,,remarks
62,62,DT_remarks_476.txt,DT,"""Just look at how badly she messed up on the Iran deal",how badly she messed up: Doubt,,,,,1.0,,,,,,,,,,,1.0,,remarks
63,63,DT_remarks_476.txt,DT,"And just today we learned that on the same day as the hostages were released the United States signed an agreement lifting sanctions on two Iranian banks involved in financing Irans missile programs."" Hillary Clinton is there for only one reason to protect her donors and collect their money","""Hillary Clinton is there for only one reason to protect her donors and collect their money """""": Causal_Oversimplification",,,,,,,,1.0,,,,,,,,1.0,,remarks
64,64,DT_remarks_476.txt,DT,"Were trying to disrupt the collusion between the wealthy donors the large corporations and the media executives."" ""Theyre all part of the same corrupt political establishment","corrupt political establishment: Repetition, ""corrupt political establishment"": Repetition",,,2.0,,,,,,,,,,,,,2.0,,remarks
65,65,DT_remarks_476.txt,DT,"And they nod along when Hillary Clinton slanders you as deplorable and irredeemable."" I call you hardworking American Patriots and together we are going to save this country","""deplorable and irredeemable."""""": Repetition, ""hardworking American Patriots"": Repetition, ""going to save this country Together we can accomplish anything we want"": Flag-Waving, """"deplorable and irredeemable."""""""": Repetition, ""hardworking American Patriots"": Repetition, ""going to save this country Together we can accomplish anything we want"": Repetition, """"deplorable and irredeemable."""""""": Repetition, ""hardworking American Patriots"": Repetition, ""to save this country"": Flag-Waving",,,7.0,,,,,,,,,,,,,9.0,,remarks
66,66,DT_remarks_476.txt,DT,You have 39 days to make every dream you ever dreamed for your country come true,make every dream you ever dreamed for your country come true Do Not: Flag-Waving,,,,,,,1.0,,,,,,,,,1.0,,remarks
67,67,DT_remarks_476.txt,DT,You have one magnificent chance to deliver justice for every forgotten man woman and child in this nation,"one magnificent chance to deliver justice for every forgotten man woman and child: Flag-Waving, ""one magnificent chance to deliver justice for every forgotten man woman and child"": Flag-Waving, ""one magnificent chance to deliver justice for every forgotten man woman and child"": Appeal_to_fear-prejudice",,,,,,,2.0,,,,,,,,,3.0,,remarks
68,68,DT_remarks_476.txt,DT,will soon come face to face with the righteous verdict of the American voter,"the righteous verdict: Repetition, ""the righteous verdict"": Repetition, ""the righteous verdict"": Repetition, ""the righteous verdict"": Appeal_to_fear-prejudice, ""the righteous verdict"": Appeal_to_fear-prejudice, ""the righteous verdict of the American voter"": Repetition",,,4.0,,,,,,,,,,,,,6.0,,remarks
69,69,DT_remarks_476.txt,DT,On November 8th we are going to show the whole world that America is Back – Bigger and Better and Stronger than ever before,"America is Back – Bigger and Better and Stronger than ever before: Flag-Waving, ""show the whole world"": Flag-Waving, ""America is Back – Bigger and Better and Stronger than ever before"": Flag-Waving",,,,,,,3.0,,,,,,,,,3.0,,remarks
70,70,DT_remarks_476.txt,DT,Here are just some of the great things that will happen for your country: We are going to lower your taxes; eliminate every unnecessary regulation; repeal and replace job-killing Obamacare; make childcare more affordable; bring our manufacturing jobs back to Michigan; end illegal immigration; keep Radical Islamic terrorists out of our country; save the 2nd amendment; support the men and women of law enforcement; and appoint Justices to the Supreme Court who will uphold and defend the Constitution of the United States,"your country: Repetition, ""eliminate"": Flag-Waving, ""job-killing"": Flag-Waving, ""Radical Islamic terrorists"": Flag-Waving, ""our country"": Repetition",,,2.0,,,,,,,,,,,,,5.0,,remarks
71,71,DT_remarks_476.txt,DT,We will put new American steel into the spine of this country,"the spine: Flag-Waving, ""into the spine of"": Flag-Waving, ""into the spine of"": Flag-Waving, ""into the spine of"": Appeal_to_fear-prejudice, ""into the spine of"": Flag-Waving, ""into the spine of"": Appeal_to_fear-prejudice, ""into the spine of"": Flag-Waving, ""into the spine of"": Flag-Waving",,,,,,,6.0,,,,,,,,,8.0,,remarks
72,72,DT_remarks_476.txt,DT,I will fight for every neglected part of this nation – and I will fight to bring us all together as Americans,"Americans: Repetition, ""Americans"": Repetition, ""Americans"": Repetition, ""Americans"": Repetition",,,4.0,,,,,,,,,,,,,4.0,,remarks
73,73,DT_remarks_476.txt,DT,To the people of Michigan I promise you this – We will make America wealthy again,We will make America wealthy again We will make America strong again We will make America safe again And we will make America great again: Repetition,,,1.0,,,,,,,,,,,,,1.0,,remarks
74,74,DT_remarks_502.txt,DT,Together we are going to deliver real change that puts America First,"puts America First: Repetition, ""America First"": Black-and-White_Fallacy, ""puts America First"": Repetition",,,2.0,,,,,,,,,,,,,3.0,,remarks
75,75,DT_remarks_502.txt,DT,We are going to renegotiate our terrible trade deals end illegal immigration stop the massive inflow of refugees reduce surging crime cut taxes and regulations lift the restrictions on American energy end common core and repeal and replace the disaster known as Obamacare,"terrible trade deals: Repetition, ""disaster"": Black-and-White_Fallacy, ""our terrible"": Repetition, ""disaster"": Black-and-White_Fallacy",,,2.0,,,,,,,,,,,,,4.0,,remarks
76,76,DT_remarks_502.txt,DT,We are also going to replace a failed political class that has betrayed our workers spent trillions on endless foreign wars without victory and destroyed our middle class,"""a failed political class that has betrayed our workers spent trillions on endless foreign wars without victory and destroyed our middle class """"Your jobs will come back under a Trump Administration Your incomes will go up under a Trump Administration Your taxes will go way"": Black-and-White_Fallacy",,,,,,,,,,,1.0,,,,,1.0,,remarks
77,77,DT_remarks_502.txt,DT,"Your companies wont be leaving Maine under a Trump Administration."" We are going to be a rich country again",rich country: Repetition,,,1.0,,,,,,,,,,,,,1.0,,remarks
78,78,DT_remarks_502.txt,DT,"""Hillary speaks in secret to Goldman Sachs – her private position – then lies to you the public with her public position","her private position: Name_Calling,Labeling, """"then lies to you the public with her public position Its all a fraud."""""""": Doubt",,1.0,,,,,,,,,,,,,,2.0,,remarks
79,79,DT_remarks_502.txt,DT,"Its all a fraud."" Hillary Clinton deleted 33000 emails – after a Congressional Subpoena – she lied to Congress under oath she made 13 phones disappear some with a hammer and now we learn 2 boxes of email evidence mysteriously went missing",disappear some with a hammer: Doubt,,,,,1.0,,,,,,,,,,,1.0,,remarks
80,80,DT_remarks_502.txt,DT,"""Hillary Clinton should have been prosecuted and gone to jail for her crimes","""""""Hillary Clinton should have been prosecuted and gone to jail for her crimes The FBI and the Department of Justice created a fraud in allowing Hillary Clinton to get away with her terrible crimes – and I guarantee you the Clintons are laughing at"": Doubt, """"""""Hillary Clinton should have been prosecuted and gone to jail for her crimes The FBI and the Department of Justice created a fraud in allowing Hillary Clinton to get away with her terrible crimes – and I guarantee you the Clintons are laughing at"""": Doubt",,,,,2.0,,,,,,,,,,,2.0,,remarks
81,81,DT_remarks_502.txt,DT,"The Directors performance in Congress coupled with Bill Clintons clandestine meeting on the tarmac in the Attorney Generals airplane just prior to decision-time on Hillary – supposedly talking about golf and grandchildren – is perhaps the lowest point in those departments history."" Instead of being held accountable Hillary is running for President in what looks like a rigged election","the lowest point: Doubt, ""Instead of being held accountable Hillary is running for President in what looks like a rigged election The election is being rigged by corrupt media"": Doubt, ""the lowest point"": Doubt, ""Instead of being held accountable Hillary is running for President in what looks like a rigged election The election is being rigged by corrupt media"": Doubt",,,,,4.0,,,,,,,,,,,4.0,,remarks
82,82,DT_remarks_502.txt,DT,This will finally be the year the American people say: Enough is Enough,"American people: Repetition, ""American people"": Repetition",,,2.0,,,,,,,,,,,,,2.0,,remarks
83,83,DT_remarks_502.txt,DT,"Speaking in secret to a foreign bank Hillary Clinton said her dream is for totally ""open trade and open borders."" Hillary and Bill raise millions of dollars from global interest groups who have no allegiance to this country or its workers",who have no allegiance to this country or its workers: Flag-Waving,,,,,,,1.0,,,,,,,,,1.0,,remarks
84,84,DT_remarks_502.txt,DT,"By ""open trade"" she means foreign countries can cheat us out of millions of jobs and trillions of dollars","""""""open trade"""" she means foreign countries can cheat us out of millions of jobs and trillions of dollars By """"open borders"""" she means totally unlimited immigration Either we win the election or we lose the country """"H"": Black-and-White_Fallacy",,,,,,,,,,,1.0,,,,,1.0,,remarks
85,85,DT_remarks_502.txt,DT,"By ""open borders"" she means totally unlimited immigration","""""""open borders"""""": Black-and-White_Fallacy, """"totally unlimited immigration Either we win the election or we lose the country """""""": Black-and-White_Fallacy, ""totally unlimited immigration When she thought no one was listening Hillary Clinton was plotting to destroy the sovereignty of the United States Either we win the election or we lose the country A Trump Administration will"": Appeal_to_fear-prejudice",,,,,,,,,,,2.0,,,,,3.0,,remarks
86,86,DT_remarks_502.txt,DT,"If Im elected President I am going to keep Radical Islamic Terrorists out of our country."" We will also stop the crisis of illegal immigration","Radical Islamic Terrorists: Name_Calling,Labeling, """"our country."""""""": Flag-Waving, ""Radical Islamic Terrorists"": Name_Calling,Labeling, """"our country."""""""": Flag-Waving, ""Radical Islamic Terrorists"": Repetition, """"our country."""""""": Repetition, ""Radical Islamic Terrorists"": Name_Calling,Labeling, """"our country."""""""": Flag-Waving",,3.0,,,,,,,,,,,,,,8.0,,remarks
87,87,DT_remarks_502.txt,DT,A Trump Administration will secure and defend our borders,"our borders: Flag-Waving, ""our borders"": Repetition, ""our borders"": Flag-Waving, ""our borders"": Flag-Waving",,,,,,,3.0,,,,,,,,,4.0,,remarks
88,88,DT_remarks_502.txt,DT,In August Texas Police arrested a serial illegal immigrant rapist who had been deported five times including one 68 year-old woman with a cane who took his offer to drive her home,serial illegal immigrant rapist: Repetition,,,1.0,,,,,,,,,,,,,1.0,,remarks
89,89,DT_remarks_502.txt,DT,"What kind of government allows its own people to suffer such horrors? ""As Secretary of State Hillary Clinton allowed thousands of criminal aliens to be released because their home countries wouldnt take them back",What kind of government allows its own people to suffer such horrors: Flag-Waving,,,,,,,1.0,,,,,,,,,1.0,,remarks
90,90,DT_remarks_502.txt,DT,"Among those she allowed to go free was a criminal alien who had previously been convicted for shooting a girl in the head – after his release he viciously murdered a young girl name Casey Chadwick."" A wall will not only keep out criminals but it will also keep out the drugs and heroin poisoning our youth","criminal alien: Repetition, ""viciously"": Loaded_Language",,,1.0,,,,,,,,,,,,,2.0,,remarks
91,91,DT_remarks_502.txt,DT,My plan begins with a strong border includes the prosecution of drug dealers and dramatically expands access to life-saving treatments that will help people unchain themselves from this terrible addiction,terrible: Repetition,,,1.0,,,,,,,,,,,,,1.0,,remarks
92,92,DT_remarks_502.txt,DT,But if we are going to bring hope back to suffering Americans we must also solve our jobs crisis,suffering Americans: Repetition,,,1.0,,,,,,,,,,,,,1.0,,remarks
